Zeitpunkt;2026-01-22 12:48:24
Wellenlaenge;Dunkelwert (W/m2)
340;0.000000
341;0.000000
342;0.000000
343;0.000000
344;0.000000
345;0.000000
346;0.000000
347;0.000000
348;0.000000
349;0.000000
350;0.000000
351;0.000000
352;0.000000
353;0.000000
354;0.000000
355;0.000000
356;0.000000
357;0.000000
358;0.000000
359;0.000000
360;0.000000
361;0.000000
362;0.000000
363;0.000000
364;0.000000
365;0.000000
366;0.000000
367;0.000000
368;0.000000
369;0.000000
370;0.000000
371;0.000000
372;0.000000
373;0.000000
374;0.000000
375;0.000000
376;0.000000
377;0.000000
378;0.000000
379;0.000000
380;0.000000
381;0.000000
382;0.000000
383;0.000000
384;0.000000
385;0.000000
386;0.000000
387;0.000000
388;0.000000
389;0.000000
390;0.000000
391;0.000000
392;0.000000
393;0.000000
394;0.000000
395;0.000000
396;0.000000
397;0.000000
398;0.000000
399;0.000000
400;0.000000
401;0.000000
402;0.000000
403;0.000000
404;0.000000
405;0.000000
406;0.000000
407;0.000000
408;0.000000
409;0.000000
410;0.000000
411;0.000000
412;0.000000
413;0.000000
414;0.000000
415;0.000000
416;0.000000
417;0.000000
418;0.000000
419;0.000000
420;0.000000
421;0.000000
422;0.000000
423;0.000000
424;0.000000
425;0.000000
426;0.000000
427;0.000000
428;0.000000
429;0.000000
430;0.000000
431;0.000003
432;0.000000
433;0.000000
434;0.000000
435;0.000000
436;0.000000
437;0.000001
438;0.000000
439;0.000000
440;0.000006
441;0.000005
442;0.000001
443;0.000027
444;0.000038
445;0.000040
446;0.000017
447;0.000015
448;0.000012
449;0.000039
450;0.000105
451;0.000073
452;0.000025
453;0.000012
454;0.000020
455;0.000040
456;0.000085
457;0.000098
458;0.000062
459;0.000055
460;0.000053
461;0.000074
462;0.000102
463;0.000108
464;0.000047
465;0.000026
466;0.000000
467;0.000019
468;0.000021
469;0.000007
470;0.000011
471;0.000017
472;0.000003
473;0.000000
474;0.000005
475;0.000014
476;0.000057
477;0.000040
478;0.000000
479;0.000000
480;0.000000
481;0.000072
482;0.000067
483;0.000073
484;0.000046
485;0.000012
486;0.000003
487;0.000019
488;0.000011
489;0.000000
490;0.000000
491;0.000023
492;0.000090
493;0.000063
494;0.000074
495;0.000083
496;0.000059
497;0.000033
498;0.000036
499;0.000061
500;0.000064
501;0.000063
502;0.000072
503;0.000067
504;0.000033
505;0.000056
506;0.000108
507;0.000115
508;0.000130
509;0.000118
510;0.000095
511;0.000081
512;0.000064
513;0.000066
514;0.000099
515;0.000111
516;0.000094
517;0.000087
518;0.000072
519;0.000117
520;0.000154
521;0.000140
522;0.000108
523;0.000066
524;0.000107
525;0.000121
526;0.000098
527;0.000091
528;0.000090
529;0.000069
530;0.000077
531;0.000112
532;0.000145
533;0.000095
534;0.000067
535;0.000102
536;0.000112
537;0.000150
538;0.000174
539;0.000162
540;0.000133
541;0.000110
542;0.000106
543;0.000124
544;0.000116
545;0.000119
546;0.000131
547;0.000126
548;0.000114
549;0.000080
550;0.000125
